data_source,rmse,mae
yf_only_mlp,0.010200368340740147,0.005463635427119113
epu_mlp,0.011647619881699075,0.006298030692079952
sentiment_mlp,0.013481622028952757,0.006707724270302613
both_mlp,0.012204241457147076,0.006446845734166959
yf_only_gated,0.0071398069219238,0.0034592743332091218
epu_gated,0.008007316996058321,0.0031402163855188143
sentiment_gated,0.007247941509298782,0.003880616374284751
both_gated,0.011434797761845588,0.005006137067410605
